concept	name	pragmatic_tier	sac_status	concern	sac_section	notes
commands	ABLOCK	ansi-unimplemented		sac_silent_on_unportable		
commands	ASSIGN	ansi-unimplemented		sac_silent_on_unportable		
commands	ASTART	ansi-unimplemented		sac_silent_on_unportable		
commands	ASTOP	ansi-unimplemented		sac_silent_on_unportable		
commands	AUNBLOCK	ansi-unimplemented		sac_silent_on_unportable		
commands	BREAK	core	forbidden	sac_says_avoid_but_portable	XINDEX rule 25 (severity S)	Break command used.
commands	CATCH	iris-only		sac_silent_on_unportable		
commands	CLOSE	core		sac_silent_on_portable		
commands	CONTINUE	iris-only		sac_silent_on_unportable		
commands	DO	core		sac_silent_on_portable		
commands	ELSE	core		sac_silent_on_portable		
commands	ELSEIF	iris-only		sac_silent_on_unportable		
commands	ESTART	ansi-unimplemented		sac_silent_on_unportable		
commands	ESTOP	ansi-unimplemented		sac_silent_on_unportable		
commands	ETRIGGER	ansi-unimplemented		sac_silent_on_unportable		
commands	FOR	core		sac_silent_on_portable		
commands	GOTO	core		sac_silent_on_portable		
commands	HALT	core	restricted	sac_says_avoid_but_portable	XINDEX rule 32 (severity S)	'HALT' command should be invoked through 'G ^XUSCLEAN'.
commands	HANG	core		sac_silent_on_portable		
commands	IF	core		sac_silent_on_portable		
commands	JOB	core	restricted	sac_says_avoid_but_portable	XINDEX rule 36 (severity S)	Should use 'TASKMAN' instead of 'JOB' command.
commands	KILL	core		sac_silent_on_portable		
commands	KSUBSCRIPTS	ansi-unimplemented		sac_silent_on_unportable		
commands	KVALUE	ansi-unimplemented		sac_silent_on_unportable		
commands	LOCK	core		sac_silent_on_portable		
commands	MERGE	core		sac_silent_on_portable		
commands	NEW	core		sac_silent_on_portable		
commands	OPEN	core		sac_silent_on_portable		
commands	PRINT	iris-only		sac_silent_on_unportable		
commands	QUIT	core		sac_silent_on_portable		
commands	READ	core		sac_silent_on_portable		
commands	RETURN	iris-only		sac_silent_on_unportable		
commands	RLOAD	ansi-unimplemented		sac_silent_on_unportable		
commands	RSAVE	ansi-unimplemented		sac_silent_on_unportable		
